Pollster,Start Date,End Date,Release Date/Time (ET),Number of Observations,Population,Mode,Favorable,Unfavorable,Undecided,Pollster URL,Source URL,Source URL
NBC/WSJ,2012-10-17,2012-10-20,2012-10-21 10:08:51,1000,Registered Voters,Phone,49,43,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-16000,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/nbc_oct_poll.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/nbc_oct_poll.pdf
CBS,2012-10-17,2012-10-20,2012-10-22 23:10:38,1383,Adults,Phone,47,42,9,http://elections.huffingtonpost.com/pollster/polls/cbs-16057,http://www.cbsnews.com/8301-250_162-57537588/poll-ahead-of-third-debate-obama-leads-on-foreign-policy/?pageNum=2&tag=page,http://www.cbsnews.com/8301-250_162-57537588/poll-ahead-of-third-debate-obama-leads-on-foreign-policy/?pageNum=2&tag=page
PPP (D-Americans United for Change),2012-10-17,2012-10-19,2012-10-20 08:55:15,1200,Likely Voters,Automated Phone,49,47,4,http://elections.huffingtonpost.com/pollster/polls/ppp-d-americans-united-for-change-15976,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_1019Evening.pdf,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_1019Evening.pdf
Politico/GWU/Battleground,2012-10-14,2012-10-18,2012-10-22 06:21:29,1000,Likely Voters,Phone,52,44,4,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-16012,http://images.politico.com/global/2012/10/politico_gwbgp_oct22_questionnaire.html,http://images.politico.com/global/2012/10/politico_gwbgp_oct22_questionnaire.html
YouGov/Economist,2012-10-13,2012-10-15,2012-10-17 11:40:18,999,Adults,Internet,49,48,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-15873,http://today.yougov.com/news/2012/10/17/likely-voters-give-president-one-point-edge/,http://today.yougov.com/news/2012/10/17/likely-voters-give-president-one-point-edge/
DailyKos/SEIU/PPP (D),2012-10-12,2012-10-14,2012-10-16 11:29:33,1600,Likely Voters,Automated Phone,46,51,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15824,http://www.dailykos.com/weeklypolling/2012/10/12,http://www.dailykos.com/weeklypolling/2012/10/12
Gallup/USA Today,2012-10-10,2012-10-11,2012-10-16 15:48:33,891,Registered Voters,Phone,51,48,,http://elections.huffingtonpost.com/pollster/polls/gallup-usa-today-15838,http://www.gallup.com/poll/158045/voters-equally-favorable-candidates-prior-second-debate.aspx,http://www.gallup.com/poll/158045/voters-equally-favorable-candidates-prior-second-debate.aspx
Politico/GWU/Battleground,2012-10-07,2012-10-11,2012-10-15 10:21:23,1000,Likely Voters,Phone,53,46,2,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15781,http://www.politico.com/news/stories/1012/82389.html,http://www.politico.com/news/stories/1012/82389.html
Monmouth,2012-10-08,2012-10-10,2012-10-11 12:49:24,1360,Likely Voters,Mixed,46,45,8,http://elections.huffingtonpost.com/pollster/polls/monmouth-15702,http://www.monmouth.edu/assets/0/84/159/2147483694/f84548f8-7dcc-4d33-9b5c-56d2e18df7f5.pdf,http://www.monmouth.edu/assets/0/84/159/2147483694/f84548f8-7dcc-4d33-9b5c-56d2e18df7f5.pdf
FOX,2012-10-07,2012-10-09,2012-10-10 18:01:05,1204,Registered Voters,Phone,52,44,4,http://elections.huffingtonpost.com/pollster/polls/fox-15675,http://www.foxnews.com/politics/interactive/2012/10/10/fox-news-poll-race-shifts-toward-romney-after-debate/,http://www.foxnews.com/politics/interactive/2012/10/10/fox-news-poll-race-shifts-toward-romney-after-debate/
YouGov/Economist,2012-10-06,2012-10-08,2012-10-10 10:55:41,1000,Adults,Internet,49,47,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-15646,http://cdn.yougov.com/cumulus_uploads/document/oskexcz53d/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/oskexcz53d/econToplines.pdf
Pew,2012-10-04,2012-10-07,2012-10-08 16:03:13,1511,Adults,Phone,50,45,5,http://elections.huffingtonpost.com/pollster/polls/pew-15602,http://www.people-press.org/2012/10/08/romneys-strong-debate-performance-erases-obamas-lead/,http://www.people-press.org/2012/10/08/romneys-strong-debate-performance-erases-obamas-lead/
DailyKos/SEIU/PPP (D),2012-10-04,2012-10-07,2012-10-09 10:17:02,1300,Likely Voters,Automated Phone,47,50,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15619,http://www.dailykos.com/weeklypolling/2012/10/4,http://www.dailykos.com/weeklypolling/2012/10/4
ABC/Post,2012-10-04,2012-10-07,2012-10-09 11:28:59,845,Registered Voters,Phone,55,44,1,http://elections.huffingtonpost.com/pollster/polls/abc-post-15624,http://www.langerresearch.com/uploads/1127-45a1FavorabilityNo45a1.pdf,http://www.langerresearch.com/uploads/1127-45a1FavorabilityNo45a1.pdf
Politico/GWU/Battleground,2012-10-01,2012-10-04,2012-10-08 10:57:02,1000,Likely Voters,Phone,52,45,3,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15584,http://www.politico.com/news/stories/1012/82122.html,http://www.politico.com/news/stories/1012/82122.html
McLaughlin (R-American Conservative Union),2012-09-30,2012-10-02,2012-10-05 11:06:48,1000,Likely Voters,Phone,52,46,3,http://elections.huffingtonpost.com/pollster/polls/mclaughlin-r-american-conservative-union-15543,http://mclaughlinonline.com/lib/sitefiles/National_ACU_10-3-12_Presentation_ACU.pdf,http://mclaughlinonline.com/lib/sitefiles/National_ACU_10-3-12_Presentation_ACU.pdf
YouGov/Economist,2012-09-29,2012-10-01,2012-10-04 09:38:02,1000,Adults,Internet,48,48,5,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-15515,http://cdn.yougov.com/cumulus_uploads/document/j7g41wxzsz/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/j7g41wxzsz/econToplines.pdf
CNN,2012-09-28,2012-09-30,2012-10-01 15:43:53,883,Registered Voters,Phone,53,47,,http://elections.huffingtonpost.com/pollster/polls/cnn-15442,http://i2.cdn.turner.com/cnn/2012/images/10/01/rel11a.pdf,http://i2.cdn.turner.com/cnn/2012/images/10/01/rel11a.pdf
DailyKos/SEIU/PPP (D),2012-09-27,2012-09-30,2012-10-02 13:58:49,1100,Likely Voters,Automated Phone,49,48,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15473,http://elections.dailykos.com/weeklypolling/2012/9/27,http://elections.dailykos.com/weeklypolling/2012/9/27
NBC/WSJ,2012-09-26,2012-09-30,2012-10-02 21:12:44,1000,Registered Voters,Phone,52,42,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-15480,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBCNews-WSJPoll_9-12.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBCNews-WSJPoll_9-12.pdf
NPR,2012-09-26,2012-09-30,2012-10-03 11:26:31,800,Likely Voters,Phone,53,40,,http://elections.huffingtonpost.com/pollster/polls/npr-15489,http://media.npr.org/documents/2012/oct/nprpoll.pdf,http://media.npr.org/documents/2012/oct/nprpoll.pdf
Quinnipiac,2012-09-25,2012-09-30,2012-10-02 06:11:10,1912,Likely Voters,Phone,50,47,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-15449,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1801,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1801
Politico/GWU/Battleground,2012-09-24,2012-09-27,2012-10-01 06:38:39,1000,Likely Voters,Phone,50,47,,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15420,http://www.politico.com/news/stories/0912/81830.html?hp=l1,http://www.politico.com/news/stories/0912/81830.html?hp=l1
FOX,2012-09-24,2012-09-26,2012-09-27 22:29:50,1208,Registered Voters,Phone,52,43,4,http://elections.huffingtonpost.com/pollster/polls/fox-15368,http://www.foxnews.com/politics/interactive/2012/09/27/fox-news-poll-voters-want-change-president-to-stand-up-for-free-speech/,http://www.foxnews.com/politics/interactive/2012/09/27/fox-news-poll-voters-want-change-president-to-stand-up-for-free-speech/
YouGov/Economist,2012-09-22,2012-09-24,2012-09-26 11:59:24,1000,Adults,Internet,52,46,2,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-15321,http://cdn.yougov.com/cumulus_uploads/document/dqvatpi3fj/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/dqvatpi3fj/econToplines.pdf
Bloomberg,2012-09-21,2012-09-24,2012-09-26 06:42:19,1007,Adults,Phone,52,44,4,http://elections.huffingtonpost.com/pollster/polls/bloomberg-15316,http://media.bloomberg.com/bb/avfile/rhMzOK9Gexhs,http://media.bloomberg.com/bb/avfile/rhMzOK9Gexhs
DailyKos/SEIU/PPP (D),2012-09-20,2012-09-23,2012-09-25 10:17:39,1200,Likely Voters,Automated Phone,50,47,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15291,http://elections.dailykos.com/weeklypolling/2012/9/20,http://elections.dailykos.com/weeklypolling/2012/9/20
Politico/GWU/Battleground,2012-09-16,2012-09-20,2012-09-24 10:20:13,1000,Likely Voters,Phone,53,45,1,http://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-15259,http://images.politico.com/global/2012/09/battlegroundpoll.html,http://images.politico.com/global/2012/09/battlegroundpoll.html
YouGov/Economist,2012-09-15,2012-09-17,2012-09-19 11:06:58,1000,Adults,Internet,52,44,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-15131,http://cdn.yougov.com/cumulus_uploads/document/w8gq8k2j9r/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/w8gq8k2j9r/econToplines.pdf
AP-GfK,2012-09-13,2012-09-17,2012-09-19 06:33:34,1512,Adults,Phone,58,39,2,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-15121,http://ap-gfkpoll.com/main/wp-content/uploads/2012/09/AP-GfK-Poll-September-2012-Topline_1st-release.pdf,http://ap-gfkpoll.com/main/wp-content/uploads/2012/09/AP-GfK-Poll-September-2012-Topline_1st-release.pdf
Reason/Rupe,2012-09-13,2012-09-17,2012-09-21 12:20:21,787,Likely Voters,Phone,52,45,2,http://elections.huffingtonpost.com/pollster/polls/reason-rupe-15209,http://reason.com/assets/db/13481953038600.pdf,http://reason.com/assets/db/13481953038600.pdf
Monmouth,2012-09-13,2012-09-16,2012-09-17 13:55:59,1571,Registered Voters,Mixed,46,39,15,http://elections.huffingtonpost.com/pollster/polls/monmouth-15086,http://www.monmouth.edu/assets/0/84/159/2147483694/31a5695e-db0d-4272-b292-b9640f4ff7fb.pdf,http://www.monmouth.edu/assets/0/84/159/2147483694/31a5695e-db0d-4272-b292-b9640f4ff7fb.pdf
DailyKos/SEIU/PPP (D),2012-09-13,2012-09-16,2012-09-18 11:53:59,1000,Likely Voters,Automated Phone,50,47,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-15102,http://elections.dailykos.com/weeklypolling/2012/9/13,http://elections.dailykos.com/weeklypolling/2012/9/13
NBC/WSJ,2012-09-12,2012-09-16,2012-09-18 18:58:01,900,Registered Voters,Phone,48,42,1,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-15117,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/September_WSJ_NBC_Poll.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/September_WSJ_NBC_Poll.pdf
Pew,2012-09-12,2012-09-16,2012-09-19 14:04:09,3019,Adults,Phone,57,40,4,http://elections.huffingtonpost.com/pollster/polls/pew-15141,http://www.people-press.org/2012/09/19/obama-ahead-with-stronger-support-better-image-and-lead-on-most-issues/,http://www.people-press.org/2012/09/19/obama-ahead-with-stronger-support-better-image-and-lead-on-most-issues/
CBS/Times,2012-09-08,2012-09-12,2012-09-14 10:21:30,1170,Registered Voters,Phone,45,41,11,http://elections.huffingtonpost.com/pollster/polls/cbs-times-15036,http://s3.documentcloud.org/documents/432864/latest-cbs-news-new-york-times-poll.pdf,http://s3.documentcloud.org/documents/432864/latest-cbs-news-new-york-times-poll.pdf
Democracy Corps (D),2012-09-08,2012-09-12,2012-09-13 11:54:14,1000,Likely Voters,Phone,50,43,,http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-15006,http://www.democracycorps.com/attachments/article/908/dcor.political.fq.09132012.web.pdf,http://www.democracycorps.com/attachments/article/908/dcor.political.fq.09132012.web.pdf
FOX,2012-09-09,2012-09-11,2012-09-12 18:43:03,1224,Registered Voters,Phone,52,44,4,http://elections.huffingtonpost.com/pollster/polls/fox-14991,http://www.foxnews.com/politics/interactive/2012/09/12/fox-news-poll-obama-tops-romney-in-post-convention-poll-most-say-country-still/,http://www.foxnews.com/politics/interactive/2012/09/12/fox-news-poll-obama-tops-romney-in-post-convention-poll-most-say-country-still/
YouGov/Economist,2012-09-08,2012-09-10,2012-09-12 10:41:12,1000,Adults,Internet,52,44,4,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-14980,http://cdn.yougov.com/cumulus_uploads/document/38mwx7z6ey/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/38mwx7z6ey/econToplines.pdf
CNN,2012-09-07,2012-09-09,2012-09-10 16:19:11,875,Registered Voters,Phone,57,41,1,http://elections.huffingtonpost.com/pollster/polls/cnn-14952,http://politicalticker.blogs.cnn.com/2012/09/10/cnn-poll-obama-up-six-points-over-romney/,http://politicalticker.blogs.cnn.com/2012/09/10/cnn-poll-obama-up-six-points-over-romney/
DailyKos/SEIU/PPP (D),2012-09-07,2012-09-09,2012-09-11 10:23:02,1000,Likely Voters,Automated Phone,51,46,3,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14960,http://elections.dailykos.com/weeklypolling/2012/9/7,http://elections.dailykos.com/weeklypolling/2012/9/7
Ipsos/Reuters (Web),2012-09-04,2012-09-08,2012-09-08 22:33:20,1720,Registered Voters,Internet,53,47,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-14933,http://big.assets.huffingtonpost.com/reutersipsos090812.pdf,http://big.assets.huffingtonpost.com/reutersipsos090812.pdf
YouGov/Economist,2012-09-01,2012-09-03,2012-09-05 12:41:21,1000,Adults,Internet,48,45,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-14895,http://cdn.yougov.com/cumulus_uploads/document/xlycixojrf/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/xlycixojrf/econToplines.pdf
CNN,2012-08-31,2012-09-03,2012-09-04 16:19:49,877,Registered Voters,Phone,54,44,2,http://elections.huffingtonpost.com/pollster/polls/cnn-14889,http://politicalticker.blogs.cnn.com/2012/09/04/cnn-poll-did-romney-get-a-convention-bounce/,http://politicalticker.blogs.cnn.com/2012/09/04/cnn-poll-did-romney-get-a-convention-bounce/
Ipsos/Reuters (Web),2012-08-29,2012-09-02,2012-09-03 02:01:11,1441,Registered Voters,Internet,51,49,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-14857,http://big.assets.huffingtonpost.com/ipsos090212.pdf,http://big.assets.huffingtonpost.com/ipsos090212.pdf
ABC/Post,2012-08-29,2012-09-02,2012-09-05 10:35:18,842,Registered Voters,Phone,47,49,4,http://elections.huffingtonpost.com/pollster/polls/abc-post-14893,http://www.langerresearch.com/uploads/1127a40FavorabilityNo40.pdf,http://www.langerresearch.com/uploads/1127a40FavorabilityNo40.pdf
Ipsos/Reuters (Web),2012-08-24,2012-08-28,2012-08-28 18:05:45,1591,Registered Voters,Internet,51,49,,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-web-14818,http://big.assets.huffingtonpost.com/ReutersIpsosConvention082812.pdf,http://big.assets.huffingtonpost.com/ReutersIpsosConvention082812.pdf
YouGov/Economist,2012-08-25,2012-08-27,2012-08-29 13:06:06,1000,Adults,Internet,46,48,6,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-14826,http://cdn.yougov.com/cumulus_uploads/document/k7rcu50rvy/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/k7rcu50rvy/econToplines.pdf
Democracy Corps (D),2012-08-23,2012-08-27,2012-08-29 13:20:41,1000,Likely Voters,Phone,49,44,,http://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-14827,http://www.democracycorps.com/attachments/article/906/dcor.nat.polt.082812.pdf,http://www.democracycorps.com/attachments/article/906/dcor.nat.polt.082812.pdf
DailyKos/SEIU/PPP (D),2012-08-23,2012-08-26,2012-08-28 12:15:01,1000,Registered Voters,Automated Phone,51,46,4,http://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14809,http://elections.dailykos.com/weeklypolling/2012/8/23,http://elections.dailykos.com/weeklypolling/2012/8/23
CBS,2012-08-22,2012-08-26,2012-08-28 10:19:23,1218,Adults,Phone,41,44,12,http://elections.huffingtonpost.com/pollster/polls/cbs-14807,http://www.scribd.com/doc/104119402/Aug1b-Ctm-Elec?secret_password=24vdx7v29toba1fa1ie,http://www.scribd.com/doc/104119402/Aug1b-Ctm-Elec?secret_password=24vdx7v29toba1fa1ie
ABC/Post,2012-08-22,2012-08-26,2012-08-29 12:56:29,1020,Adults,Phone,50,44,6,http://elections.huffingtonpost.com/pollster/polls/abc-post-14823,http://www.langerresearch.com/uploads/1127a39FavorabilityNo39.pdf,http://www.langerresearch.com/uploads/1127a39FavorabilityNo39.pdf
CNN,2012-08-22,2012-08-23,2012-08-24 16:18:55,924,Registered Voters,Phone,54,44,2,http://elections.huffingtonpost.com/pollster/polls/cnn-14768,http://i2.cdn.turner.com/cnn/2012/images/08/24/rel8a.pdf,http://i2.cdn.turner.com/cnn/2012/images/08/24/rel8a.pdf
USA Today/Gallup,2012-08-20,2012-08-22,2012-09-05 17:36:37,1033,Adults,Phone,53,46,1,http://elections.huffingtonpost.com/pollster/polls/usa-today-gallup-14898,http://www.gallup.com/poll/157280/democratic-headliners-good-favor-americans.aspx,http://www.gallup.com/poll/157280/democratic-headliners-good-favor-americans.aspx
Resurgent Republic (R),2012-08-16,2012-08-22,2012-08-27 12:26:53,1000,Registered Voters,Phone,48,49,3,http://elections.huffingtonpost.com/pollster/polls/resurgent-republic-r-14797,http://s3.amazonaws.com/resurgentrepublic.com/resurgentrepublic/production/assets/576/original/rr-aug-12-toplines.pdf,http://s3.amazonaws.com/resurgentrepublic.com/resurgentrepublic/production/assets/576/original/rr-aug-12-toplines.pdf
FOX,2012-08-19,2012-08-21,2012-08-24 10:18:40,1219,Registered Voters,Phone,52,43,4,http://elections.huffingtonpost.com/pollster/polls/fox-14758,http://www.foxnews.com/politics/interactive/2012/08/23/fox-news-poll-race-for-white-house-tightens/,http://www.foxnews.com/politics/interactive/2012/08/23/fox-news-poll-race-for-white-house-tightens/
YouGov/Economist,2012-08-18,2012-08-20,2012-08-22 13:09:06,1000,Adults,Internet,44,48,7,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-14729,http://cdn.yougov.com/cumulus_uploads/document/1wbynyqshc/econToplines.pdf,http://cdn.yougov.com/cumulus_uploads/document/1wbynyqshc/econToplines.pdf
NBC/WSJ,2012-08-16,2012-08-20,2012-08-21 18:42:30,1000,Registered Voters,Phone,48,43,1,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-14718,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/August_NBC-WSJ_Int_Sched.pdf,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/August_NBC-WSJ_Int_Sched.pdf
